H	M
9999.67383	749.50589
9997.53467	729.78717
9973.59424	720.09582
9943.70752	737.9306
9930.82227	736.84644
9883.88672	726.22459
9872.00977	726.37288
9847.10596	727.33406
9803.98242	744.20688
9769.24219	732.44056
9738.28711	727.70769
9705.31982	716.61851
9670.56494	722.6901
9640.72754	735.00611
9610.63525	724.90983
9596.66211	723.31869
9569.63525	724.0774
9543.73193	716.27294
9500.84229	732.49509
9464.96533	706.04143
9431.98828	721.49386
9403.16309	717.26849
9367.22266	710.48368
9353.27148	709.04629
9327.31348	705.54429
9302.354	707.0472
9255.42236	731.32232
9239.40625	716.88032
9192.65918	702.42022
9162.51318	718.35134
9126.32666	698.8964
9091.16016	702.0284
9052.05566	712.16068
9018.13721	698.32888
9004.11084	685.24586
8979.25977	727.53704
8952.36816	704.23702
8925.42236	712.12289
8878.45215	715.37909
8845.52881	699.1706
8813.52588	698.00511
8780.53564	705.77127
8746.69971	711.55754
8711.81006	705.64815
8697.85938	683.80891
8672.78223	704.8614
8629.88184	697.49722
8615.84277	670.3468
8568.95313	691.55606
8534.12891	673.31671
8520.13428	693.85252
8494.22754	697.24474
8447.38818	680.78652
8435.40674	700.69828
8391.38525	698.73396
8377.38818	676.47245
8333.51758	696.56528
8317.43262	674.027
8290.45898	692.38272
8244.58887	694.12726
8208.76074	688.84608
8195.81055	689.93839
8150.77222	673.21071
8117.78613	681.73081
8088.78979	697.08027
8057.99219	684.43842
8025.94946	673.62659
8011.99292	669.43305
7966.28198	669.45353
7932.26636	672.49661
7898.43896	669.09067
7884.38721	667.90722
7839.53003	677.72666
7824.57886	665.1091
7800.53735	661.66288
7777.54785	669.50859
7754.62134	673.1479
7711.74146	672.38958
7677.75122	685.20696
7661.70996	658.62517
7616.8103	653.53402
7582.86621	669.65194
7565.88306	656.31489
7540.98804	645.34672
7516.92139	662.72618
7470.97046	644.74537
7456.00513	668.52692
7412.12183	658.96713
7378.20776	655.07323
7348.16528	645.77358
7311.28247	646.07851
7280.34131	652.0866
7246.40601	657.22476
7211.3894	655.82172
7196.46729	655.46152
7152.49683	656.30843
7138.40015	657.06943
7113.46362	653.82401
7087.66821	646.3859
7042.72095	641.27569
7027.72778	639.00031
6985.57202	629.66889
6951.69434	637.75673
6936.698	632.69902
6891.74878	639.01682
6858.86084	658.76077
6843.10034	646.9004
6797.50195	648.3439
6781.6499	627.31955
6740.56274	641.31725
6707.58838	627.62278
6674.73169	638.22971
6641.67822	643.87543
6609.6438	626.53539
6594.73999	629.6147
6550.74365	633.27303
6535.82397	640.01389
6509.81689	615.47749
6484.81689	644.83877
6440.76929	627.2029
6408.78784	619.08564
6375.83667	605.29675
6337.91357	618.1194
6323.90454	606.19264
6299.94458	619.7804
6276.98047	634.66907
6232.11353	626.19048
6198.04712	607.6325
6184.11304	617.67055
6138.07617	622.87708
6108.0498	628.21363
6072.22778	609.40128
6041.30884	628.44217
6011.17749	612.53696
5997.20605	606.32765
5951.25317	621.74578
5936.27539	610.65662
5893.5105	628.83971
5862.59277	606.43864
5820.69507	616.56181
5804.73193	621.1457
5758.65088	585.06301
5724.59009	584.69483
5711.6853	602.78787
5670.85913	578.35479
5659.86597	587.15257
5617.87354	596.90435
5602.93774	589.02799
5560.96533	594.36406
5530.91138	586.99419
5516.91724	590.98987
5472.99561	597.72233
5456.95532	587.94604
5411.10376	590.26277
5377.07544	575.3532
5347.06519	580.55706
5314.08252	588.52001
5299.10229	578.00631
5255.06055	586.31298
5242.06787	584.03414
5216.16968	568.17446
5172.21631	570.32306
5157.26025	580.4082
5114.32861	564.86077
5080.38818	579.04227
5050.41479	578.12977
5018.31396	579.35974
4987.45728	559.58592
4953.42505	574.18969
4919.38257	560.00805
4904.44507	577.23678
4879.4624	581.47264
4833.52881	567.86454
4802.4812	577.4796
4771.49829	552.01442
4737.58203	561.68393
4721.51855	567.52222
4695.51587	551.24121
4669.54663	557.26911
4644.5752	560.41167
4620.61084	562.66833
4577.65454	564.57504
4543.26196	548.76021
4527.12061	550.82089
4500.10156	531.97371
4472.21606	536.06263
4429.09595	550.61732
4396.18335	558.64276
4363.14893	542.56251
4347.13867	548.87757
4305.35864	563.88158
4272.19116	537.74585
4259.18188	536.04366
4213.30225	539.63895
4177.33643	541.4658
4162.30737	539.70558
4137.33179	521.13745
4094.35388	534.61553
4060.21167	523.72791
4045.22473	523.16293
4021.3689	523.64906
3998.41443	537.63166
3953.43665	536.24505
3917.6095	527.38932
3904.5564	521.16424
3860.5321	521.49412
3827.51233	531.10872
3814.49927	516.0747
3770.58447	513.20448
3755.60181	512.31154
3730.59436	517.60242
3689.59521	515.41593
3654.67859	526.62176
3622.71875	508.35471
3606.71399	520.99417
3581.6759	524.71141
3557.65149	509.68155
3512.6532	507.53429
3499.6759	502.47699
3456.7207	506.44218
3442.71814	502.08046
3416.85034	496.79222
3367.99866	492.08326
3334.94885	501.68757
3299.97852	489.70915
3262.07703	490.92626
3249.00488	485.18126
3224.99744	503.51072
3201.02112	496.96992
3157.09875	498.72039
3127.08838	492.41178
3092.03442	481.91157
3057.13953	492.42552
3027.24329	476.78781
2995.16406	474.3783
2958.22363	477.85661
2945.29773	471.00373
2921.17236	465.42798
2875.26318	472.55355
2861.25964	468.1134
2821.46936	468.04127
2789.10706	464.19744
2755.35315	467.99798
2742.29395	452.94064
2720.26746	458.99624
2677.45129	447.6178
2663.42786	451.97763
2617.46875	463.47087
2604.4801	449.47369
2564.39355	447.76251
2548.38342	458.99299
2521.37952	445.92199
2474.50867	451.72439
2461.54565	452.90464
2419.6925	436.31704
2404.62317	440.45263
2359.63232	439.00779
2323.53992	436.37233
2308.6283	452.12876
2286.8363	445.94905
2265.14587	431.00134
2222.27551	434.75044
2208.27148	428.49018
2183.35303	432.79455
2135.323	424.49735
2123.40625	417.80046
2100.41394	420.53383
2058.49463	415.53903
2043.46655	421.80174
2020.43622	413.4456
1979.51624	400.41925
1965.53967	413.00711
1940.43311	412.75319
1897.53418	404.4678
1860.4707	396.50739
1822.47937	401.96134
1790.52179	402.67318
1754.38202	393.66476
1722.51501	389.82757
1693.52637	386.21467
1680.75348	391.64432
1655.73755	379.59539
1629.60974	379.7333
1584.72327	376.40893
1553.52606	381.85064
1519.75726	379.94171
1489.80261	371.89546
1458.78156	374.99037
1443.69885	378.17651
1398.79401	361.51792
1384.83716	379.25918
1338.82922	366.21472
1323.89447	354.21463
1297.85834	346.12686
1270.75592	348.46083
1244.75592	348.02681
1200.90271	355.75122
1185.89233	340.25629
1139.91638	338.65645
1104.89362	335.89605
1090.82471	332.97987
1048.79419	336.97608
1035.75226	341.99167
1010.80984	322.67533
964.81552	326.87053
929.94077	323.93046
913.89365	327.83378
870.90494	312.3483
837.93835	300.87091
801.97949	312.10599
788.98386	301.59258
765.01907	315.238
743.05206	300.36127
720.00436	301.3133
693.96701	291.57631
667.97195	286.24034
642.98938	272.60982
598.05814	277.78766
584.01935	282.11988
540.10361	274.76163
526.1488	263.27712
501.15015	266.14504
475.11807	257.16989
449.15201	264.70631
406.18126	246.84603
374.27885	235.30724
336.26443	238.57345
303.28635	231.6986
288.35619	226.57516
262.32464	226.38319
238.31913	207.81188
196.44247	211.69785
160.34413	212.82666
146.35606	194.36324
99.44376	179.86148
85.45452	180.64396
60.4519	164.72997
17.55403	153.36414
3.55726	157.29274
-37.51709	112.53166
-66.41531	108.58897
-81.43059	89.72429
-123.51387	76.6141
-137.49414	50.15329
-182.52145	26.73514
-199.5115	-8.18353
-227.46892	-16.17029
-269.42961	-48.22301
-307.39888	-69.68706
-321.3893	-83.8308
-366.27878	-97.91489
-402.27411	-120.64691
-416.22774	-145.34234
-440.21991	-147.81638
-483.25714	-160.90078
-497.19511	-161.17449
-524.18982	-188.02064
-551.16635	-193.85974
-576.06268	-194.05531
-618.86383	-220.38676
-632.82816	-209.57654
-677.83722	-234.19425
-717.85043	-247.05032
-746.90649	-246.55044
-780.77887	-239.01064
-794.69687	-245.33059
-818.6983	-263.86513
-861.69119	-264.76627
-890.66306	-275.25573
-922.57108	-283.2652
-957.56006	-280.48629
-993.62329	-291.70932
-1008.53836	-287.86132
-1032.49088	-292.67864
-1074.42499	-325.84518
-1104.40137	-309.58126
-1139.25299	-310.18659
-1174.06952	-315.85967
-1190.00085	-327.06434
-1217.9093	-320.38531
-1246.86285	-340.45542
-1273.86188	-327.92141
-1321.83789	-333.12503
-1334.8194	-342.59121
-1375.77722	-340.22367
-1389.72302	-341.44758
-1414.67035	-344.86774
-1439.67438	-346.47131
-1481.58765	-350.64171
-1495.5896	-338.55463
-1539.54901	-352.21765
-1553.4903	-355.63831
-1580.45062	-364.0563
-1607.48651	-370.19066
-1633.48993	-368.47837
-1676.38843	-367.54835
-1705.3299	-381.02089
-1741.19672	-367.8788
-1754.21289	-376.21066
-1797.03418	-392.59565
-1810.9563	-375.81975
-1854.02161	-394.35204
-1868.95795	-390.05045
-1917.86371	-390.71587
-1950.91357	-390.54728
-1982.84027	-393.99568
-2015.77374	-385.92276
-2047.79382	-412.18993
-2080.71411	-393.90453
-2116.65381	-400.18097
-2129.71082	-400.82973
-2152.62537	-411.65727
-2174.5542	-396.65356
-2220.64307	-409.63395
-2235.62976	-403.87875
-2263.48694	-421.82116
-2307.08423	-419.58054
-2339.94604	-430.88459
-2351.92017	-433.21619
-2393.83264	-428.38107
-2427.81531	-418.63397
-2461.86267	-422.612
-2497.8728	-434.2407
-2513.8103	-426.77106
-2559.71021	-436.75354
-2573.66833	-430.87625
-2598.59363	-448.28903
-2642.63782	-452.83487
-2655.61743	-438.49223
-2704.58997	-444.94865
-2742.57263	-449.11113
-2756.60229	-449.51179
-2800.48059	-456.84733
-2814.37878	-446.37926
-2861.34192	-463.72576
-2875.29846	-460.48303
-2902.19641	-467.94777
-2929.15796	-459.93903
-2953.09912	-472.90063
-2997.09961	-471.90003
-3031.06763	-466.26312
-3063.099	-466.0331
-3097.0387	-462.6974
-3137.98096	-467.00519
-3151.99451	-469.46571
-3195.9082	-489.54865
-3209.99695	-479.65269
-3233.03491	-473.02365
-3276.04578	-476.45076
-3291.09351	-468.18608
-3335.20068	-479.78062
-3364.12488	-486.1918
-3399.13367	-493.49774
-3414.09705	-495.7021
-3455.97803	-497.09507
-3487.94373	-495.50244
-3523.9679	-492.98324
-3558.07629	-487.69233
-3572.02197	-491.21741
-3595.94946	-501.9201
-3640.0127	-497.42348
-3654.01062	-481.52614
-3697.0625	-494.98867
-3731.09155	-508.63701
-3761.98962	-512.19637
-3798.06116	-516.01785
-3828.14197	-514.10525
-3860.20386	-519.16308
-3874.24084	-507.76886
-3920.08533	-512.6401
-3936.25391	-511.32408
-3985.99463	-521.1006
-4001.95581	-512.34223
-4027.94312	-522.05438
-4052.96472	-516.1029
-4098.85474	-522.36741
-4135.97168	-538.93197
-4171.06079	-535.09344
