H	M
4891.30435	-0.00438
4934.78261	-0.00442
4978.26087	-0.0044
5021.73913	-0.00442
5065.21739	-0.00439
5108.69565	-0.00432
5152.17391	-0.00438
5195.65217	-0.00442
5239.13043	-0.00451
5282.6087	-0.00449
5326.08696	-0.00441
5369.56522	-0.00441
5413.04348	-0.00441
5456.52174	-0.00451
5500	-0.00457
5543.47826	-0.00457
5586.95652	-0.00471
5630.43478	-0.00459
5673.91304	-0.00458
5717.3913	-0.00458
5760.86957	-0.00454
5804.34783	-0.00454
5847.82609	-0.00451
5891.30435	-0.0045
5934.78261	-0.00459
5978.26087	-0.00459
6021.73913	-0.0046
6065.21739	-0.00458
6108.69565	-0.00461
6152.17391	-0.00463
6195.65217	-0.00451
6239.13043	-0.00456
6282.6087	-0.0046
6326.08696	-0.00457
6369.56522	-0.00448
6413.04348	-0.00451
6456.52174	-0.00457
6500	-0.00455
6500	-0.00461
6456.52174	-0.00475
6413.04348	-0.00483
6369.56522	-0.00486
6326.08696	-0.00484
6282.6087	-0.00485
6239.13043	-0.00476
6195.65217	-0.00478
6152.17391	-0.00477
6108.69565	-0.0047
6065.21739	-0.00475
6021.73913	-0.00471
5978.26087	-0.0047
5934.78261	-0.0048
5891.30435	-0.0048
5847.82609	-0.00474
5804.34783	-0.00473
5760.86957	-0.00472
5717.3913	-0.00479
5673.91304	-0.00481
5630.43478	-0.00477
5586.95652	-0.0047
5543.47826	-0.00473
5500	-0.00471
5456.52174	-0.00473
5413.04348	-0.0047
5369.56522	-0.00471
5326.08696	-0.00475
5282.6087	-0.00475
5239.13043	-0.00468
5195.65217	-0.00471
5152.17391	-0.00475
5108.69565	-0.00473
5065.21739	-0.00469
5021.73913	-0.0047
4978.26087	-0.00475
4934.78261	-0.00472
4891.30435	-0.00467
4847.82609	-0.00468
4804.34783	-0.00464
4760.86957	-0.00458
4717.3913	-0.00469
4673.91304	-0.00471
4630.43478	-0.00463
4586.95652	-0.00463
4543.47826	-0.00464
4500	-0.00469
4456.52174	-0.00464
4413.04348	-0.00463
4369.56522	-0.00458
4326.08696	-0.00461
4282.6087	-0.00461
4239.13043	-0.00455
4195.65217	-0.00454
4152.17391	-0.00465
4108.69565	-0.00467
4065.21739	-0.00466
4021.73913	-0.00462
3978.26087	-0.00457
3934.78261	-0.0046
3891.30435	-0.00464
3847.82609	-0.00451
3804.34783	-0.0046
3760.86957	-0.00467
3717.3913	-0.00463
3673.91304	-0.00459
3630.43478	-0.00457
3586.95652	-0.00462
3543.47826	-0.00463
3500	-0.00464
3456.52174	-0.00457
3413.04348	-0.00454
3369.56522	-0.00456
3326.08696	-0.00453
3282.6087	-0.00454
3239.13043	-0.00458
3195.65217	-0.00454
3152.17391	-0.00457
3108.69565	-0.00453
3065.21739	-0.0045
3021.73913	-0.00449
2978.26087	-0.00446
2934.78261	-0.00446
2891.30435	-0.0045
2847.82609	-0.0045
2804.34783	-0.00452
2760.86957	-0.0045
2717.3913	-0.00438
2673.91304	-0.00442
2630.43478	-0.00445
2586.95652	-0.00442
2543.47826	-0.0044
2500	-0.0044
2456.52174	-0.00445
2413.04348	-0.00448
2369.56522	-0.00438
2326.08696	-0.00435
2282.6087	-0.00442
2239.13043	-0.00437
2195.65217	-0.00436
2152.17391	-0.00431
2108.69565	-0.00433
2065.21739	-0.00436
2021.73913	-0.00438
1978.26087	-0.00438
1934.78261	-0.00439
1891.30435	-0.00435
1847.82609	-0.00432
1804.34783	-0.00429
1760.86957	-0.00431
1717.3913	-0.00433
1673.91304	-0.00428
1630.43478	-0.00424
