H	M
9999.58008	1.31073E-4
9988.13721	1.28533E-4
9974.85693	1.27636E-4
9930.80566	1.30097E-4
9916.9248	1.30712E-4
9869.0957	1.2874E-4
9854.06055	1.29804E-4
9828.07422	1.29781E-4
9803.06055	1.28542E-4
9761.29834	1.285E-4
9730.20654	1.29958E-4
9676.55566	1.28668E-4
9641.64111	1.29905E-4
9625.71045	1.27696E-4
9580.7417	1.29194E-4
9565.75684	1.28245E-4
9540.82666	1.29749E-4
9493.86963	1.28578E-4
9459.03174	1.28094E-4
9428.05664	1.2943E-4
9394.19238	1.26567E-4
9380.17969	1.31233E-4
9333.24414	1.27091E-4
9317.3291	1.28387E-4
9273.3418	1.28394E-4
9259.3501	1.29706E-4
9216.54443	1.26809E-4
9181.48633	1.26053E-4
9150.56006	1.306E-4
9136.43066	1.29367E-4
9093.02832	1.30161E-4
9060.0918	1.29128E-4
9026.2251	1.29041E-4
9011.17139	1.29913E-4
8985.17529	1.30236E-4
8962.18457	1.29885E-4
8923.20459	1.29347E-4
8892.34668	1.27854E-4
8879.36377	1.2916E-4
8836.41064	1.28661E-4
8803.49756	1.29647E-4
8769.60645	1.32628E-4
8735.63379	1.32676E-4
8703.7207	1.32947E-4
8687.73438	1.30615E-4
8662.77783	1.30896E-4
8638.77637	1.27522E-4
8596.80127	1.28352E-4
8583.84863	1.30129E-4
8559.0459	1.3144E-4
8513.15234	1.29664E-4
8476.21875	1.30485E-4
8462.25537	1.29741E-4
8421.25586	1.27842E-4
8390.28369	1.32041E-4
8360.26758	1.3028E-4
8328.33984	1.3185E-4
8312.30762	1.31351E-4
8287.45117	1.29564E-4
8261.59229	1.31491E-4
8216.62305	1.31368E-4
8183.72778	1.30455E-4
8168.73682	1.31217E-4
8143.6665	1.30423E-4
8098.68286	1.3032E-4
8082.75903	1.27814E-4
8056.83813	1.28934E-4
8030.91089	1.31659E-4
8004.98926	1.28498E-4
7979.16089	1.30271E-4
7934.17041	1.29861E-4
7920.17798	1.31811E-4
7876.30322	1.27815E-4
7841.41333	1.31318E-4
7807.40674	1.29881E-4
7775.40552	1.29887E-4
7742.4895	1.30313E-4
7711.54053	1.30138E-4
7677.66504	1.29633E-4
7644.66016	1.30718E-4
7613.5896	1.29836E-4
7581.677	1.29511E-4
7542.72412	1.31486E-4
7510.80127	1.29269E-4
7480.88721	1.29965E-4
7449.86841	1.30691E-4
7417.83252	1.30983E-4
7403.92041	1.29014E-4
7358.06348	1.31278E-4
7343.05127	1.30197E-4
7297.25635	1.31506E-4
7260.18799	1.29007E-4
7246.15991	1.29574E-4
7203.22485	1.31345E-4
7172.35645	1.27599E-4
7139.17603	1.27678E-4
7106.40259	1.27369E-4
7090.48779	1.3176E-4
7065.48389	1.30257E-4
7040.39551	1.30521E-4
6994.43237	1.31255E-4
6959.49927	1.30222E-4
6944.44873	1.29107E-4
6901.58765	1.28297E-4
6861.6189	1.30176E-4
6847.88525	1.32164E-4
6823.21387	1.3324E-4
6796.39624	1.29789E-4
6772.47046	1.30333E-4
6750.37866	1.32555E-4
6702.43408	1.31488E-4
6669.41064	1.30371E-4
6635.41333	1.27252E-4
6623.48608	1.2903E-4
6579.3457	1.31437E-4
6566.45581	1.29451E-4
6542.59155	1.30011E-4
6498.49243	1.31941E-4
6482.56201	1.29297E-4
6436.67163	1.30137E-4
6399.59937	1.30434E-4
6362.6084	1.29096E-4
6347.66284	1.3141E-4
6320.71948	1.3073E-4
6277.83301	1.29138E-4
6263.76978	1.27122E-4
6220.77637	1.29372E-4
6206.81104	1.2677E-4
6183.89282	1.30589E-4
6138.94849	1.30121E-4
6105.896	1.28562E-4
6092.99756	1.28783E-4
6050.89355	1.2934E-4
6015.96655	1.31612E-4
5981.02881	1.28647E-4
5945.04248	1.28448E-4
5914.03662	1.26894E-4
5901.97021	1.29636E-4
5877.01514	1.29869E-4
5850.09985	1.29304E-4
