H	M
3201.02112	5.96364E-5
3157.09875	5.98464E-5
3127.08838	5.90894E-5
3092.03442	5.78294E-5
3057.13953	5.90911E-5
3027.24329	5.72145E-5
2995.16406	5.69254E-5
2958.22363	5.73428E-5
2945.29773	5.65204E-5
2921.17236	5.58514E-5
2875.26318	5.67064E-5
2861.25964	5.61736E-5
2821.46936	5.6165E-5
2789.10706	5.57037E-5
2755.35315	5.61598E-5
2742.29395	5.43529E-5
2720.26746	5.50795E-5
2677.45129	5.37141E-5
2663.42786	5.42373E-5
2617.46875	5.56165E-5
2604.4801	5.39368E-5
2564.39355	5.37315E-5
2548.38342	5.50792E-5
2521.37952	5.35106E-5
2474.50867	5.42069E-5
2461.54565	5.43486E-5
2419.6925	5.2358E-5
2404.62317	5.28543E-5
2359.63232	5.26809E-5
2323.53992	5.23647E-5
2308.6283	5.42555E-5
2286.8363	5.35139E-5
2265.14587	5.17202E-5
2222.27551	5.21701E-5
2208.27148	5.14188E-5
2183.35303	5.19353E-5
2135.323	5.09397E-5
2123.40625	5.01361E-5
2100.41394	5.04641E-5
2058.49463	4.98647E-5
2043.46655	5.06162E-5
2020.43622	4.96135E-5
1979.51624	4.80503E-5
1965.53967	4.95609E-5
1940.43311	4.95304E-5
1897.53418	4.85361E-5
1860.4707	4.75809E-5
1822.47937	4.82354E-5
1790.52179	4.83208E-5
1754.38202	4.72398E-5
1722.51501	4.67793E-5
1693.52637	4.63458E-5
1680.75348	4.69973E-5
1655.73755	4.55514E-5
1629.60974	4.5568E-5
1584.72327	4.51691E-5
1553.52606	4.58221E-5
1519.75726	4.5593E-5
1489.80261	4.46275E-5
1458.78156	4.49988E-5
1443.69885	4.53812E-5
1398.79401	4.33822E-5
1384.83716	4.55111E-5
1338.82922	4.39458E-5
1323.89447	4.25058E-5
1297.85834	4.15352E-5
1270.75592	4.18153E-5
1244.75592	4.17632E-5
1200.90271	4.26901E-5
1185.89233	4.08308E-5
1139.91638	4.06388E-5
1104.89362	4.03075E-5
1090.82471	3.99576E-5
1048.79419	4.04371E-5
1035.75226	4.1039E-5
1010.80984	3.8721E-5
964.81552	3.92245E-5
929.94077	3.88717E-5
913.89365	3.93401E-5
870.90494	3.74818E-5
837.93835	3.61045E-5
801.97949	3.74527E-5
788.98386	3.61911E-5
765.01907	3.78286E-5
743.05206	3.60434E-5
720.00436	3.61576E-5
693.96701	3.49892E-5
667.97195	3.43488E-5
642.98938	3.27132E-5
598.05814	3.33345E-5
584.01935	3.38544E-5
540.10361	3.29714E-5
526.1488	3.15933E-5
501.15015	3.19374E-5
475.11807	3.08604E-5
449.15201	3.17648E-5
406.18126	2.96215E-5
374.27885	2.82369E-5
336.26443	2.86288E-5
303.28635	2.78038E-5
288.35619	2.7189E-5
262.32464	2.7166E-5
238.31913	2.49374E-5
196.44247	2.54037E-5
160.34413	2.55392E-5
146.35606	2.33236E-5
99.44376	2.15834E-5
85.45452	2.16773E-5
60.4519	1.97676E-5
17.55403	1.84037E-5
3.55726	1.88751E-5
-37.51709	1.35038E-5
-66.41531	1.30307E-5
-81.43059	1.07669E-5
-123.51387	9.19369E-6
-137.49414	6.01839E-6
-182.52145	3.20822E-6
-199.5115	-9.82024E-7
-227.46892	-1.94043E-6
-269.42961	-5.78676E-6
-307.39888	-8.36245E-6
-321.3893	-1.00597E-5
-366.27878	-1.17498E-5
-402.27411	-1.44776E-5
-416.22774	-1.74411E-5
-440.21991	-1.7738E-5
-483.25714	-1.93081E-5
-497.19511	-1.93409E-5
-524.18982	-2.25625E-5
-551.16635	-2.32632E-5
-576.06268	-2.32866E-5
-618.86383	-2.64464E-5
-632.82816	-2.51492E-5
-677.83722	-2.81033E-5
-717.85043	-2.9646E-5
-746.90649	-2.95861E-5
-780.77887	-2.86813E-5
-794.69687	-2.94397E-5
-818.6983	-3.16638E-5
-861.69119	-3.1772E-5
-890.66306	-3.30307E-5
-922.57108	-3.39918E-5
-957.56006	-3.36584E-5
-993.62329	-3.50051E-5
-1008.53836	-3.45434E-5
-1032.49088	-3.51214E-5
-1074.42499	-3.91014E-5
-1104.40137	-3.71498E-5
-1139.25299	-3.72224E-5
-1174.06952	-3.79032E-5
-1190.00085	-3.92477E-5
-1217.9093	-3.84462E-5
-1246.86285	-4.08546E-5
-1273.86188	-3.93506E-5
-1321.83789	-3.9975E-5
-1334.8194	-4.11109E-5
-1375.77722	-4.08268E-5
-1389.72302	-4.09737E-5
-1414.67035	-4.13841E-5
-1439.67438	-4.15766E-5
-1481.58765	-4.2077E-5
-1495.5896	-4.06266E-5
-1539.54901	-4.22661E-5
-1553.4903	-4.26766E-5
-1580.45062	-4.36868E-5
-1607.48651	-4.44229E-5
-1633.48993	-4.42174E-5
-1676.38843	-4.41058E-5
-1705.3299	-4.57225E-5
-1741.19672	-4.41455E-5
-1754.21289	-4.51453E-5
-1797.03418	-4.71115E-5
-1810.9563	-4.50984E-5
-1854.02161	-4.73222E-5
-1868.95795	-4.68061E-5
-1917.86371	-4.68859E-5
-1950.91357	-4.68657E-5
-1982.84027	-4.72795E-5
-2015.77374	-4.63107E-5
-2047.79382	-4.94628E-5
-2080.71411	-4.72685E-5
-2116.65381	-4.80217E-5
-2129.71082	-4.80996E-5
-2152.62537	-4.93989E-5
-2174.5542	-4.75984E-5
-2220.64307	-4.91561E-5
-2235.62976	-4.84655E-5
-2263.48694	-5.06185E-5
-2307.08423	-5.03497E-5
-2339.94604	-5.17062E-5
-2351.92017	-5.19859E-5
-2393.83264	-5.14057E-5
-2427.81531	-5.02361E-5
-2461.86267	-5.07134E-5
-2497.8728	-5.21089E-5
-2513.8103	-5.12125E-5
-2559.71021	-5.24104E-5
-2573.66833	-5.17052E-5
-2598.59363	-5.37947E-5
-2642.63782	-5.43402E-5
-2655.61743	-5.26191E-5
-2704.58997	-5.33938E-5
-2742.57263	-5.38933E-5
-2756.60229	-5.39414E-5
-2800.48059	-5.48217E-5
-2814.37878	-5.35655E-5
-2861.34192	-5.56471E-5
-2875.29846	-5.5258E-5
-2902.19641	-5.61537E-5
-2929.15796	-5.51927E-5
-2953.09912	-5.67481E-5
-2997.09961	-5.6628E-5
-3031.06763	-5.59516E-5
-3063.099	-5.5924E-5
-3097.0387	-5.55237E-5
-3137.98096	-5.60406E-5
-3151.99451	-5.63359E-5
-3195.9082	-5.87458E-5
-3209.99695	-5.75583E-5
-3233.03491	-5.67628E-5
-3276.04578	-5.71741E-5
-3291.09351	-5.61823E-5
-3335.20068	-5.75737E-5
-3364.12488	-5.8343E-5
-3399.13367	-5.92197E-5
-3414.09705	-5.94843E-5
-3455.97803	-5.96514E-5
-3487.94373	-5.94603E-5
-3523.9679	-5.9158E-5
-3558.07629	-5.85231E-5
-3572.02197	-5.89461E-5
-3595.94946	-6.02304E-5
-3640.0127	-5.96908E-5
-3654.01062	-5.77831E-5
-3697.0625	-5.93986E-5
-3731.09155	-6.10364E-5
-3761.98962	-6.14636E-5
-3798.06116	-6.19221E-5
-3828.14197	-6.16926E-5
-3860.20386	-6.22996E-5
-3874.24084	-6.09323E-5
-3920.08533	-6.15168E-5
-3936.25391	-6.13589E-5
-3985.99463	-6.25321E-5
-4001.95581	-6.14811E-5
-4027.94312	-6.26465E-5
-4052.96472	-6.19323E-5
-4098.85474	-6.26841E-5
-4135.97168	-6.46718E-5
-4171.06079	-6.42112E-5
-4185.93066	-6.48331E-5
-4226.04785	-6.3388E-5
-4242.02661	-6.42865E-5
-4268.06177	-6.42234E-5
-4291.07544	-6.47077E-5
-4336.00415	-6.42048E-5
-4370.95264	-6.35327E-5
-4402.9751	-6.45897E-5
-4439.02563	-6.39174E-5
-4452.0415	-6.4842E-5
-4475.07153	-6.62653E-5
-4515.00903	-6.45714E-5
-4544.95776	-6.40461E-5
-4580.00488	-6.52456E-5
-4612.27246	-6.65997E-5
-4642.18164	-6.57188E-5
-4676.21533	-6.65846E-5
-4691.18823	-6.6665E-5
-4718.1748	-6.68219E-5
-4761.14258	-6.60042E-5
-4798.13599	-6.59348E-5
-4829.17041	-6.82618E-5
-4861.1123	-6.86073E-5
-4876.10278	-6.65935E-5
-4919.12598	-6.80905E-5
-4953.20142	-6.74305E-5
-4986.13013	-6.72888E-5
-5019.15161	-6.79854E-5
-5051.17358	-6.81796E-5
