t	dtet
-1	0
-0.9	7.1118E-7
-0.8	-2.5E-7
-0.7	-1.00621E-6
-0.6	-2.57764E-7
-0.5	1.07143E-7
-0.4	2.56211E-7
-0.3	-7.91925E-7
-0.2	-4.14596E-7
-0.1	1.7236E-7
0	4.16149E-7
0.1	1.00932E-7
0.2	2.23602E-7
0.3	1.48602E-6
0.4	2.25466E-6
0.5	4.47671E-6
0.6	8.69565E-6
0.7	1.34658E-5
0.8	1.66848E-5
0.9	2.10745E-5
1	2.55637E-5
1.1	2.75792E-5
1.2	2.83385E-5
1.3	2.85792E-5
1.4	2.89457E-5
1.5	2.77391E-5
1.6	2.53602E-5
1.7	2.52966E-5
1.8	2.40932E-5
1.9	2.29674E-5
2	2.30901E-5
2.1	2.20543E-5
2.2	2.11646E-5
2.3	2.03773E-5
2.4	2.00233E-5
2.5	1.99845E-5
2.6	1.87174E-5
2.7	1.88649E-5
2.8	1.90248E-5
2.9	1.8309E-5
3	1.89627E-5
3.1	1.81817E-5
3.2	1.76134E-5
3.3	1.7222E-5
3.4	1.65916E-5
3.5	1.69472E-5
3.6	1.70839E-5
3.7	1.60683E-5
3.8	1.56242E-5
3.9	1.63929E-5
4	1.60978E-5
6	1.45947E-5
8	1.33168E-5
10	1.22189E-5
12	1.19596E-5
14	1.26615E-5
16	1.2823E-5
18	9.87733E-6
20	1.07283E-5
22	8.89286E-6
24	9.4472E-6
26	9.57609E-6
28	8.8587E-6
30	8.55901E-6
32	6.45342E-6
34	6.87267E-6
36	6.41925E-6
38	6.55435E-6
40	7.04348E-6
42	5.62267E-6
44	4.6087E-6
46	4.43323E-6
48	5.40994E-6
50	4.39286E-6
52	4.40062E-6
54	4.8028E-6
56	4.95807E-6
58	3.28882E-6
60	4.26398E-6
62	3.65528E-6
64	3.63975E-6
66	2.42081E-6
68	4.38043E-6
70	2.93478E-6
72	3.41925E-6
74	3.98137E-6
76	4.42857E-6
78	5.67391E-6
80	5.81211E-6
82	6.32453E-6
84	6.99534E-6
86	6.25311E-6
88	6.12888E-6
90	5.6413E-6
92	6.45186E-6
94	6.14907E-6
96	7.34317E-6
98	8.3059E-6
100	7.09938E-6
102	6.9472E-6
104	6.74224E-6
106	7.65839E-6
108	8.15062E-6
110	6.63665E-6
112	5.8354E-6
114	6.59938E-6
116	6.15217E-6
118	7.40683E-6
120	7.63665E-6
122	7.11801E-6
124	4.49068E-6
126	5.06056E-6
128	4.74224E-6
130	5.28261E-6
132	5.79658E-6
134	5.89907E-6
136	4.92547E-6
138	5.5264E-6
140	4.22981E-6
142	3.96118E-6
144	3.63509E-6
146	3.97205E-6
148	4.41615E-6
150	3.68789E-6
152	4.11646E-6
154	4.72205E-6
156	3.93478E-6
158	3.85404E-6
160	4.47826E-6
162	3.78261E-6
164	2.96118E-6
166	3.92081E-6
168	4.31832E-6
170	3.98447E-6
172	3.62578E-6
174	4.03261E-6
176	3.26242E-6
178	3.08385E-6
180	4.64907E-6
182	4.74224E-6
184	4.5E-6
186	4.49689E-6
188	4.98913E-6
190	5.1118E-6
192	5.01242E-6
194	3.30435E-6
196	4.82298E-6
198	4.1413E-6
200	5.75155E-6
202	5.48447E-6
204	3.38354E-6
206	4.27019E-6
208	5.42236E-6
210	4.72826E-6
212	4.66615E-6
214	3.93789E-6
216	4.1972E-6
218	5.10248E-6
220	5.03261E-6
222	4.15994E-6
224	4.29503E-6
226	5.24845E-6
228	3.89752E-6
230	3.68323E-6
232	4.14441E-6
234	4.12267E-6
236	4.02019E-6
238	3.36957E-6
240	3.90994E-6
242	4.49068E-6
244	2.28416E-6
246	3.08075E-6
248	3.60714E-6
250	3.07143E-6
252	3E-6
254	3.01553E-6
256	2.20031E-6
258	2.91304E-6
260	3.60404E-6
262	4.21118E-6
264	2.27484E-6
266	3.41615E-6
268	4.13509E-6
270	2.6118E-6
272	4.12888E-6
274	1.95342E-6
276	2.96894E-6
278	2.72981E-6
280	2.55435E-6
282	1.90062E-6
284	2.38975E-6
286	3.52795E-6
288	2.85559E-6
290	2.6382E-6
292	2.83385E-6
294	4.47671E-6
296	3.20186E-6
298	5.12733E-6
300	5.11646E-6
302	3.93012E-6
304	3.69876E-6
306	2.44876E-6
308	5.02795E-6
310	2.96739E-6
312	3.38354E-6
314	3.34006E-6
316	3.23602E-6
318	2.42702E-6
320	3.1413E-6
322	2.83385E-6
324	3.00621E-6
326	3.45963E-6
328	3.98602E-6
330	2.74689E-6
332	2.5295E-6
334	4.48292E-6
336	3.23447E-6
338	3.26087E-6
340	2.58385E-6
342	2.38509E-6
344	2.81988E-6
346	3.3323E-6
348	3.85248E-6
350	2.24534E-6
352	2.30745E-6
354	3.22205E-6
356	2.58385E-6
358	2.03882E-6
360	2.97981E-6
362	3.34938E-6
364	3.02174E-6
366	1.70807E-6
368	3.31677E-6
370	2.52329E-6
372	1.91304E-6
374	3.63975E-6
376	3.07143E-6
378	6.13354E-7
380	6.22671E-7
382	2.65217E-6
384	2.32919E-6
386	2.09938E-6
388	2.71429E-6
390	1.92547E-6
392	8.78882E-7
394	1.0823E-6
396	1.1382E-6
398	1.53727E-6
400	2.74068E-6
402	2.42547E-6
404	3.88043E-6
406	3.77795E-6
408	1.2236E-6
410	1.88509E-6
412	2.40994E-6
414	3.84938E-6
416	1.40373E-6
418	1.13665E-6
420	2.12888E-6
422	1.85093E-6
424	2.20807E-6
426	2.53727E-6
428	1.21118E-6
430	2.35093E-6
432	1.4736E-6
434	3.9705E-6
436	2.17857E-6
438	2.58696E-6
440	3.99379E-6
442	3.37733E-6
444	1.52795E-6
446	3.21118E-6
448	2.59627E-6
450	2.38665E-6
452	2.58075E-6
454	1.98602E-6
456	-3.26087E-7
458	5.15528E-7
460	3.46273E-6
462	3.3059E-6
464	2.49689E-6
466	2.02329E-6
468	1.48447E-6
470	1.95652E-6
472	1.00311E-6
474	1.15683E-6
476	2.19565E-6
478	3.06988E-6
480	2.70807E-6
482	1.79348E-6
484	1.29193E-6
486	1.81211E-6
