t	dtet
-1	0
-0.9	-1.03727E-6
-0.8	-3.88199E-8
-0.7	-1.39907E-6
-0.6	-2.28261E-7
-0.5	-8.6646E-7
-0.4	-9.06832E-7
-0.3	-5.91615E-7
-0.2	-3.2764E-7
-0.1	-2.2205E-7
0	2.36025E-7
0.1	-5.03106E-7
0.2	-1.67702E-7
0.3	-3.50932E-7
0.4	2.31366E-7
0.5	3.40062E-7
0.6	1.7205E-6
0.7	2.72671E-6
0.8	5.04503E-6
0.9	6.12112E-6
1	9.01398E-6
1.1	1.24627E-5
1.2	1.49441E-5
1.3	1.62484E-5
1.4	1.65994E-5
1.5	1.58835E-5
1.6	1.49705E-5
1.7	1.37298E-5
1.8	1.26506E-5
1.9	1.12422E-5
2	1.15388E-5
2.1	1.1764E-5
2.2	1.18696E-5
2.3	1.04332E-5
2.4	1.07081E-5
2.5	9.93944E-6
2.6	9.59006E-6
2.7	9.31366E-6
2.8	1.01925E-5
2.9	9.59472E-6
3	9.43944E-6
3.1	9.1382E-6
3.2	8.3323E-6
3.3	8.99845E-6
3.4	8.88665E-6
3.5	9.53261E-6
3.6	8.74224E-6
3.7	8.4736E-6
3.8	7.67857E-6
3.9	7.80435E-6
4	8.08385E-6
6	8.15373E-6
8	7.59938E-6
10	6.47671E-6
12	6.54348E-6
14	6.54503E-6
16	6.1413E-6
18	5.18944E-6
20	5.1972E-6
22	4.66615E-6
24	4.77019E-6
26	5.31366E-6
28	4.96118E-6
30	4.90839E-6
32	4.04037E-6
34	4.57919E-6
36	3.86025E-6
38	4.91925E-6
40	2.89752E-6
42	3.45497E-6
44	2.73758E-6
46	2.45031E-6
48	2.15062E-6
50	2.31522E-6
52	2.33385E-6
54	3.0854E-6
56	1.98758E-6
58	1.55435E-6
60	1.63665E-6
62	1.65373E-6
64	1.0295E-6
66	1.52019E-6
68	1.63665E-6
70	2.14441E-6
72	1.93789E-6
74	1.74379E-6
76	2.13975E-6
78	3.15528E-6
80	1.3882E-6
82	2.77174E-6
84	2.49534E-6
86	1.75311E-6
88	2.43168E-6
90	3.12267E-6
92	3.1413E-6
94	3.0264E-6
96	3.34938E-6
98	1.93634E-6
100	2.81056E-6
102	1.43168E-6
104	2.53571E-6
106	3.5264E-6
108	3.51242E-6
110	5.0295E-6
112	3.29193E-6
114	3.30901E-6
116	3.33075E-6
118	4.17391E-6
120	3.71429E-6
122	3.02019E-6
124	2.77174E-6
126	3.82919E-6
128	2.82764E-6
130	2.11646E-6
132	3.6941E-6
134	2.82609E-6
136	3.37422E-6
138	3.34006E-6
140	1.97826E-6
142	2.81522E-6
144	2.31522E-6
146	2.97671E-6
148	2.54193E-6
150	1.90062E-6
152	3.34783E-6
154	3.21118E-6
156	2.22516E-6
158	1.9441E-6
160	2.1972E-6
162	1.47981E-6
164	1.64596E-6
166	1.30901E-6
168	1.42702E-6
170	1.74845E-6
172	2.34627E-6
174	1.75155E-6
176	2.23447E-6
178	2.21739E-6
180	2.14596E-6
182	1.80901E-6
184	2.55435E-6
186	1.34627E-6
188	1.6382E-6
190	1.76553E-6
192	1.23447E-6
194	1.4736E-6
196	8.6646E-7
198	2.42391E-6
200	1.29969E-6
202	2.45963E-6
204	1.73447E-6
206	1.3882E-6
208	1.96739E-6
210	1.19565E-6
212	1.68168E-6
214	1.23602E-6
216	1.6941E-6
218	1.20652E-6
220	1.07453E-6
222	1.46429E-6
224	1.80435E-6
226	2.58385E-6
228	2.24068E-6
230	1.61801E-6
232	1.51708E-6
234	1.29503E-6
236	2.56832E-6
238	2.6646E-6
240	1.5295E-6
242	2.52484E-6
244	8.46273E-7
246	2.04037E-6
248	1.32919E-6
250	1.76708E-6
252	2.02329E-6
254	2.11646E-6
256	2.4736E-6
258	2.29969E-6
260	1.74845E-6
262	3.35404E-7
264	6.67702E-8
266	7.36025E-7
268	1.62422E-6
270	6.58385E-7
272	2.42702E-6
274	1.34783E-6
276	1.07143E-6
278	6.67702E-7
280	4.17702E-7
282	1.97205E-6
284	1.18012E-6
286	1.0559E-6
288	6.78571E-7
290	5.88509E-7
292	8.74224E-7
294	6.87888E-7
296	-3.91304E-7
298	6.02484E-7
300	5.65217E-7
302	1.29348E-6
304	1.19099E-6
306	1.06988E-6
308	1.94876E-6
310	1.57298E-6
312	6.00932E-7
314	6.95652E-7
316	1.12888E-6
318	2.47981E-6
320	1.41615E-6
322	4.25466E-7
324	3.18323E-7
326	1.91304E-6
328	2.08851E-6
330	1.09161E-6
332	1.32764E-6
334	4.86025E-7
336	3.63354E-7
338	1.61335E-6
340	7.48447E-7
342	1.3323E-6
344	1.56211E-6
346	1.09938E-6
348	1.60093E-6
350	2.09783E-6
352	2.47826E-6
354	1.03882E-6
356	1.3618E-6
358	4.64286E-7
360	5.09317E-7
362	1.32919E-6
364	1.21273E-6
366	1.25311E-6
368	-8.54037E-8
370	1.08075E-6
372	2.05901E-6
374	1.08696E-6
376	4.2236E-7
378	1.14441E-6
380	1.06988E-6
382	4.45652E-7
384	7.67081E-7
386	6.89441E-7
388	1.48292E-6
390	1.0854E-6
392	1.72516E-6
394	1.35404E-6
396	5.57453E-7
398	7.54658E-7
400	2.37578E-6
402	4.93789E-7
404	7.34472E-7
406	1.11335E-6
408	1.76863E-6
410	1.36491E-6
412	3.4472E-7
414	1.01553E-6
416	-2.70186E-7
418	7.15839E-7
420	1.86335E-7
422	8.12112E-7
424	8.86646E-7
426	6.73913E-7
428	-2.67081E-7
430	6.52174E-7
432	-2.95031E-8
434	5.31056E-7
436	1.50466E-6
438	8.80435E-7
440	1.79037E-6
442	4.67391E-7
444	6.36646E-8
446	1.82143E-6
448	1.57609E-6
450	1.38354E-6
452	1.50932E-6
454	7.32919E-7
456	9.98447E-7
458	7.84161E-7
460	7.7795E-7
462	1.03727E-6
464	7.6087E-7
466	1.08851E-6
468	1.50776E-6
470	7.1118E-7
472	-3.50932E-7
474	1.79348E-6
476	5.69876E-7
478	5.65217E-7
480	2.48447E-7
482	1.92236E-6
484	1.83696E-6
486	1.50311E-6
488	4.16149E-7
490	4.14596E-7
492	1.73602E-6
494	-1.52174E-7
496	6.08696E-7
498	5.68323E-7
500	4.09938E-7
520	1.17236E-6
540	3.02795E-7
560	7.46894E-7
580	1.02174E-6
600	5.40373E-7
620	9.31677E-8
640	-3.30745E-7
660	2.66149E-6
680	5.68323E-7
700	2.48447E-7
720	2.51553E-7
740	1.22516E-6
760	6.0559E-8
780	2.7795E-7
800	1.14907E-7
820	-6.98758E-8
840	-6.38199E-7
860	8.86646E-7
880	1.3354E-7
900	6.8323E-7
920	1.8323E-7
940	1.21273E-6
960	7.14286E-7
980	5.69876E-7
1000	8.12112E-7
1020	8.64907E-7
1040	-4.36335E-7
1060	3.10559E-9
1080	6.18012E-7
1100	-2.5E-7
1120	3.72671E-8
1140	9.31677E-9
1160	-5.2795E-8
1180	3.74224E-7
1200	1.11646E-6
1220	2.14286E-7
1240	-2.73292E-7
1260	4.3323E-7
1280	5.97826E-7
1300	1.18012E-6
1320	-4.03727E-8
1340	1.62267E-6
1360	-1.40062E-6
1380	-4.65839E-7
1400	5.96273E-7
1420	4.93789E-7
1440	8.89752E-7
1460	8.40062E-7
1480	1.46739E-6
1500	9.25466E-7
1520	5.51242E-7
1540	5.76087E-7
1560	3.19876E-7
1580	-1.1646E-7
1600	1.33385E-6
1620	-7.91925E-8
1640	3.75776E-7
1660	1.11646E-6
1680	1.59938E-7
