t	dtet
-1	0
-0.9	-1.2236E-6
-0.8	-5.99379E-7
-0.7	-9.00621E-8
-0.6	6.0559E-8
-0.5	-6.69255E-7
-0.4	-5E-7
-0.3	-6.75466E-7
-0.2	-3.77329E-7
-0.1	7.7795E-7
0	4.35093E-6
0.1	7.43168E-6
0.2	1.0955E-5
0.3	1.77966E-5
0.4	2.45761E-5
0.5	3.37174E-5
0.6	4.42143E-5
0.7	5.44037E-5
0.8	6.26258E-5
0.9	6.80854E-5
1	7.27481E-5
1.1	7.27127E-5
1.2	7.25742E-5
1.3	7.28724E-5
1.4	6.94537E-5
1.5	6.79363E-5
1.6	6.5514E-5
1.7	6.2809E-5
1.8	6.14568E-5
1.9	5.92512E-5
2	5.7472E-5
2.1	5.51801E-5
2.2	5.42811E-5
2.3	5.26304E-5
2.4	5.20932E-5
2.5	5.19022E-5
2.6	5.07065E-5
2.7	4.95932E-5
2.8	4.85373E-5
2.9	4.8382E-5
3	4.74146E-5
3.1	4.69208E-5
3.2	4.62438E-5
3.3	4.4941E-5
3.4	4.44876E-5
3.5	4.48121E-5
3.6	4.44534E-5
3.7	4.33432E-5
3.8	4.35699E-5
3.9	4.25031E-5
4	4.22733E-5
6	4.20543E-5
8	4.02842E-5
10	4.06537E-5
12	3.98789E-5
14	3.90745E-5
16	4.04146E-5
18	3.83339E-5
20	3.55186E-5
22	3.56957E-5
24	3.29907E-5
26	3.1545E-5
28	2.94922E-5
30	2.80854E-5
32	2.56941E-5
34	2.50295E-5
36	2.40435E-5
38	2.41242E-5
40	2.32671E-5
42	2.25528E-5
44	2.22034E-5
46	2.10543E-5
48	2.13168E-5
50	2.0736E-5
52	2.0354E-5
54	1.93634E-5
56	1.87686E-5
58	1.8677E-5
60	1.86413E-5
62	1.96677E-5
64	2.00373E-5
66	2.14286E-5
68	2.19053E-5
70	2.30745E-5
72	2.37298E-5
74	2.35311E-5
76	2.44674E-5
78	2.50606E-5
80	2.51413E-5
82	2.65E-5
84	2.5604E-5
86	2.53742E-5
88	2.55217E-5
90	2.48075E-5
92	2.46677E-5
94	2.49301E-5
96	2.49099E-5
98	2.30481E-5
100	2.26351E-5
102	2.36646E-5
104	2.27283E-5
106	2.13214E-5
108	2.16444E-5
110	2.01988E-5
112	2.0045E-5
114	1.92935E-5
116	1.96599E-5
118	1.86925E-5
120	1.77997E-5
122	1.6854E-5
124	1.74705E-5
126	1.70994E-5
128	1.74425E-5
130	1.82531E-5
132	1.77686E-5
134	1.74674E-5
136	1.81693E-5
138	1.78602E-5
140	1.77516E-5
142	1.87888E-5
144	1.8587E-5
146	1.84596E-5
148	1.76584E-5
150	1.79953E-5
152	1.84363E-5
154	1.76957E-5
156	1.84301E-5
158	1.91351E-5
160	1.87127E-5
162	1.83866E-5
164	1.74441E-5
166	1.75823E-5
168	1.81289E-5
170	1.82469E-5
172	1.77484E-5
174	1.75807E-5
176	1.75E-5
178	1.74845E-5
180	1.76087E-5
182	1.7087E-5
184	1.66258E-5
186	1.66289E-5
188	1.69503E-5
190	1.6677E-5
192	1.56957E-5
194	1.48276E-5
196	1.61413E-5
198	1.51879E-5
200	1.52702E-5
202	1.47019E-5
204	1.47733E-5
206	1.45745E-5
208	1.42236E-5
210	1.43339E-5
212	1.46429E-5
214	1.44115E-5
216	1.33882E-5
218	1.48401E-5
220	1.36398E-5
222	1.4646E-5
224	1.42003E-5
226	1.42686E-5
228	1.56289E-5
230	1.39674E-5
232	1.41615E-5
234	1.51537E-5
236	1.43059E-5
238	1.4309E-5
240	1.44239E-5
242	1.35714E-5
244	1.4295E-5
246	1.46118E-5
248	1.44037E-5
250	1.39627E-5
252	1.36087E-5
254	1.36165E-5
256	1.36941E-5
258	1.3809E-5
260	1.46661E-5
262	1.45E-5
264	1.41661E-5
266	1.35031E-5
268	1.45342E-5
270	1.37236E-5
272	1.25668E-5
274	1.29845E-5
276	1.24643E-5
278	1.1736E-5
280	1.19208E-5
282	1.27158E-5
284	1.26599E-5
286	1.25978E-5
288	1.26258E-5
290	1.24472E-5
292	1.21398E-5
294	1.19488E-5
296	1.19503E-5
298	1.22624E-5
300	1.20016E-5
302	1.15575E-5
304	1.22158E-5
306	1.28587E-5
308	1.22981E-5
310	1.23214E-5
312	1.15745E-5
314	1.09363E-5
316	1.17453E-5
318	1.20668E-5
320	1.13773E-5
322	1.20186E-5
324	1.22438E-5
326	1.15311E-5
328	1.14674E-5
330	1.11537E-5
332	1.12174E-5
334	9.82609E-6
336	1.04441E-5
338	1.2486E-5
340	1.15E-5
342	9.62267E-6
344	1.1472E-5
346	1.02376E-5
348	9.89441E-6
350	1.13106E-5
352	1.13245E-5
354	1.02516E-5
356	9.48447E-6
358	1.07702E-5
360	1.00326E-5
362	9.64596E-6
364	1.02283E-5
366	9.7236E-6
368	1.08866E-5
370	1.0132E-5
372	1.00047E-5
374	1.0059E-5
376	1.00745E-5
378	1.00016E-5
380	1.06351E-5
382	1.01584E-5
384	8.85559E-6
386	9.4177E-6
388	9.79814E-6
390	8.86335E-6
392	9.68789E-6
394	9.52329E-6
396	1.03696E-5
398	9.4177E-6
400	9.20497E-6
402	1.01522E-5
404	1.0295E-5
406	9.82298E-6
408	8.69255E-6
410	8.74534E-6
412	8.18944E-6
414	9.22671E-6
416	9.39752E-6
418	9.12422E-6
420	8.79814E-6
422	9.71118E-6
424	8.86335E-6
426	8.36957E-6
428	8.28882E-6
430	8.37578E-6
432	9.05901E-6
434	9.72516E-6
436	9.15683E-6
438	8.8028E-6
440	7.81677E-6
442	7.70031E-6
444	8.73602E-6
446	9.32143E-6
448	9.87422E-6
450	9.88665E-6
452	9.14596E-6
454	9.31522E-6
456	8.57298E-6
458	8.13509E-6
460	9.10093E-6
462	8.17236E-6
464	8.34161E-6
466	8.1941E-6
468	8.81211E-6
470	8.98137E-6
472	8.34006E-6
474	7.68944E-6
476	8.43634E-6
478	7.73602E-6
480	7.98602E-6
482	8.38043E-6
484	7.59161E-6
486	7.73447E-6
488	8.18168E-6
490	7.97826E-6
492	7.55901E-6
494	7.18789E-6
496	9.1413E-6
498	7.86957E-6
500	7.02174E-6
520	8.18323E-6
540	7.75311E-6
560	7.64596E-6
580	7.20342E-6
600	6.99845E-6
620	5.88354E-6
640	7.77329E-6
660	6.57609E-6
680	6.02329E-6
700	5.73758E-6
720	5.46739E-6
740	6.36801E-6
760	4.52484E-6
780	5.21118E-6
800	4.65062E-6
820	4.63665E-6
840	4.8587E-6
860	4.2795E-6
880	4.93944E-6
900	4.15373E-6
920	4.16149E-6
940	4.24689E-6
960	3.58851E-6
980	3.99689E-6
1000	4.73602E-6
1020	3.6646E-6
1040	4.21429E-6
1060	4.38509E-6
1080	3.38043E-6
1100	4.0264E-6
1120	3.77484E-6
1140	3.15062E-6
1160	4.31522E-6
1180	3.50621E-6
1200	3.76708E-6
1220	3.54503E-6
1240	2.57919E-6
1260	3.3028E-6
1280	2.85404E-6
1300	4.09006E-6
1320	3.77329E-6
1340	2.1941E-6
1360	2.56832E-6
1380	2.73758E-6
1400	3.2764E-6
1420	2.20031E-6
1440	2.82764E-6
1460	3.21584E-6
1480	3.3028E-6
1500	2.58075E-6
1520	2.26708E-6
1540	2.6677E-6
1560	2.34938E-6
1580	2.94565E-6
1600	2.4146E-6
1620	2.26398E-6
1640	1.8882E-6
1660	2.47981E-6
1680	1.86957E-6
1700	2.82453E-6
1720	2.11801E-6
1740	2.34783E-6
1760	1.93168E-6
1780	1.34783E-6
1800	2.85404E-6
1820	8.95963E-7
1840	1.6677E-6
1860	1.80634E-6
