t	dtet
470	-7.56771E-6
472	-8.55207E-6
474	-8.73438E-6
476	-7.9427E-6
478	-8.0052E-6
480	-6.89582E-6
482	-7.36979E-6
484	-8.7552E-6
486	-6.70313E-6
488	-7.64582E-6
490	-8.02083E-6
492	-7.65104E-6
494	-6.85938E-6
496	-7.26042E-6
498	-6.57292E-6
500	-6.86979E-6
520	-6.61457E-6
540	-6.67188E-6
560	-7.92707E-6
580	-5.31771E-6
600	-6.90625E-6
620	-5.61979E-6
640	-4.89582E-6
660	-5.84375E-6
680	-4.98438E-6
700	-6.77604E-6
720	-3.01562E-6
740	-3.02604E-6
760	-3.41667E-6
780	-3.33333E-6
800	-3.72917E-6
820	-3.20312E-6
840	-2.82292E-6
860	-2.91146E-6
880	-3.24479E-6
900	-3.26042E-6
920	-4.66146E-6
940	-3.70313E-6
960	-2.93229E-6
980	-4.59376E-6
1000	-2.5625E-6
1020	-3.91667E-6
1040	-3.86979E-6
1060	-1.60417E-6
1080	1.40625E-7
1100	-1.58333E-6
1120	-1.48437E-6
1140	-1.11979E-6
1160	-2.57812E-6
1180	-1.95313E-6
1200	-1.95312E-6
1220	-3.57292E-6
1240	-2.59896E-6
1260	-1.77081E-7
1280	-1.61458E-6
1300	-1.93229E-6
1320	7.96875E-7
1340	-9.21875E-7
1360	-3.54687E-6
1380	-1.66666E-7
1400	-1.39062E-6
1420	-3.0625E-6
1440	-1.84375E-6
1460	-1.11979E-6
1480	-6.77081E-7
1500	-1.35416E-7
1520	-3.23437E-6
1540	-6.25E-7
1560	-5.01563E-6
1580	-3.54688E-6
1600	1.21354E-6
1620	-3.61458E-6
1640	5.20834E-7
1660	-1.09896E-6
1680	-1.53646E-6
1700	-2.21354E-6
1720	5.15625E-7
1740	-7.39581E-7
1760	5.15625E-7
1780	-3.25E-6
1800	-3.34895E-6
1820	3.79167E-6
1840	-9.375E-8
1860	6.77084E-7
