t	dtet
-1	0
-0.9	-2.8125E-7
-0.8	-1.04687E-6
-0.7	-1.11719E-6
-0.6	-1.29687E-6
-0.5	-2.26562E-6
-0.4	-4.76562E-6
-0.3	-9.63281E-6
-0.2	-1.76016E-5
-0.1	-3.08672E-5
0	-4.92188E-5
0.1	-7.30937E-5
0.2	-1.03711E-4
0.3	-1.37734E-4
0.4	-1.72227E-4
0.5	-2.09383E-4
0.6	-2.41031E-4
0.7	-2.66531E-4
0.8	-2.82953E-4
0.9	-2.93133E-4
1	-2.98258E-4
1.1	-2.97953E-4
1.2	-2.94594E-4
1.3	-2.90133E-4
1.4	-2.83063E-4
1.5	-2.77516E-4
1.6	-2.73297E-4
1.7	-2.69687E-4
1.8	-2.64141E-4
1.9	-2.60125E-4
2	-2.5743E-4
2.1	-2.53961E-4
2.2	-2.50438E-4
2.3	-2.47898E-4
2.4	-2.46836E-4
2.5	-2.43711E-4
2.6	-2.42328E-4
2.7	-2.41906E-4
2.8	-2.39516E-4
2.9	-2.37289E-4
3	-2.3582E-4
3.1	-2.35211E-4
3.2	-2.34727E-4
3.3	-2.33094E-4
3.4	-2.3232E-4
3.5	-2.32062E-4
3.6	-2.29891E-4
3.7	-2.28891E-4
3.8	-2.29172E-4
3.9	-2.29359E-4
4	-2.28961E-4
6	-2.25633E-4
8	-2.29094E-4
10	-2.41734E-4
12	-2.49781E-4
14	-2.55023E-4
16	-2.60055E-4
18	-2.63641E-4
20	-2.68531E-4
22	-2.72531E-4
24	-2.74961E-4
26	-2.78047E-4
28	-2.80789E-4
30	-2.79391E-4
32	-2.74539E-4
34	-2.71469E-4
36	-2.63195E-4
38	-2.55242E-4
40	-2.4557E-4
42	-2.35812E-4
44	-2.24016E-4
46	-2.09836E-4
48	-1.96289E-4
50	-1.81625E-4
52	-1.66023E-4
54	-1.50359E-4
56	-1.38031E-4
58	-1.25695E-4
60	-1.16203E-4
62	-1.06625E-4
64	-9.98984E-5
66	-9.38359E-5
68	-8.94219E-5
70	-8.75234E-5
72	-8.65625E-5
74	-8.83984E-5
76	-9.07188E-5
78	-9.41328E-5
80	-9.87031E-5
82	-1.04172E-4
84	-1.10734E-4
86	-1.17156E-4
88	-1.22445E-4
90	-1.27453E-4
92	-1.34258E-4
94	-1.38602E-4
96	-1.42109E-4
98	-1.43469E-4
100	-1.44734E-4
102	-1.45492E-4
104	-1.44555E-4
106	-1.40875E-4
108	-1.36586E-4
110	-1.33023E-4
112	-1.28352E-4
114	-1.20258E-4
116	-1.12852E-4
118	-1.07406E-4
120	-9.96016E-5
122	-9.22422E-5
124	-8.53047E-5
126	-7.96094E-5
128	-7.35469E-5
130	-6.64453E-5
132	-6.31016E-5
134	-5.95313E-5
136	-5.62734E-5
138	-5.34609E-5
140	-5.25078E-5
142	-5.21641E-5
144	-5.16953E-5
146	-5.38203E-5
148	-5.47422E-5
150	-5.69609E-5
152	-6.01563E-5
154	-6.24687E-5
156	-6.55859E-5
158	-6.58281E-5
160	-6.88047E-5
162	-7.07734E-5
164	-7.38672E-5
166	-7.48047E-5
168	-7.51016E-5
170	-7.60625E-5
172	-7.55E-5
174	-7.54766E-5
176	-7.44375E-5
178	-7.325E-5
180	-7.11484E-5
182	-6.97344E-5
184	-6.70234E-5
186	-6.30391E-5
188	-6.19922E-5
190	-5.91016E-5
192	-5.68438E-5
194	-5.45234E-5
196	-5.09531E-5
198	-4.86406E-5
200	-4.77734E-5
202	-4.56172E-5
204	-4.51719E-5
206	-4.34609E-5
208	-4.19297E-5
210	-4.12187E-5
212	-4.18047E-5
214	-4.09453E-5
216	-4.33125E-5
218	-4.41719E-5
220	-4.34609E-5
222	-4.49453E-5
224	-4.62422E-5
226	-4.49141E-5
228	-4.72109E-5
230	-4.77656E-5
232	-4.75859E-5
234	-4.72266E-5
236	-4.66797E-5
238	-4.66797E-5
240	-4.64844E-5
242	-4.70313E-5
244	-4.61563E-5
246	-4.5125E-5
248	-4.43672E-5
250	-4.43203E-5
252	-4.22344E-5
254	-4.19844E-5
256	-4.07969E-5
258	-3.98125E-5
260	-3.83047E-5
262	-3.76797E-5
264	-3.70703E-5
266	-3.70078E-5
268	-3.59453E-5
270	-3.63828E-5
272	-3.37266E-5
274	-3.35156E-5
276	-3.31016E-5
278	-3.21484E-5
280	-3.10781E-5
282	-3.19453E-5
284	-3.25938E-5
286	-3.33047E-5
288	-3.37734E-5
290	-3.37031E-5
292	-3.26094E-5
294	-3.45078E-5
296	-3.33516E-5
298	-3.525E-5
300	-3.48672E-5
302	-3.42891E-5
304	-3.35312E-5
306	-3.29219E-5
308	-3.36719E-5
310	-3.39141E-5
312	-3.23594E-5
314	-3.14062E-5
316	-3.10859E-5
318	-3.00391E-5
320	-3.06094E-5
322	-3.03203E-5
324	-3.06406E-5
326	-3.03594E-5
328	-2.93828E-5
330	-2.83672E-5
332	-2.675E-5
334	-2.71641E-5
336	-2.79375E-5
338	-2.87969E-5
340	-2.75781E-5
342	-2.75234E-5
344	-2.63438E-5
346	-2.8E-5
348	-2.71172E-5
350	-2.56172E-5
352	-2.66563E-5
354	-2.60312E-5
356	-2.55781E-5
358	-2.56328E-5
360	-2.6E-5
362	-2.57734E-5
364	-2.475E-5
366	-2.59141E-5
368	-2.67734E-5
370	-2.56719E-5
372	-2.43047E-5
374	-2.45703E-5
376	-2.66562E-5
378	-2.52266E-5
380	-2.54922E-5
382	-2.67109E-5
384	-2.54062E-5
386	-2.53984E-5
388	-2.57266E-5
390	-2.49297E-5
392	-2.44453E-5
394	-2.54141E-5
396	-2.40391E-5
398	-2.32109E-5
400	-2.20625E-5
402	-2.29687E-5
404	-2.37109E-5
406	-2.49297E-5
408	-2.35469E-5
410	-2.17969E-5
412	-2.25391E-5
414	-2.21406E-5
416	-2.29766E-5
418	-2.23125E-5
420	-2.15859E-5
422	-2.15547E-5
424	-2.13125E-5
426	-2.20547E-5
428	-2.20937E-5
430	-2.15859E-5
432	-2.29844E-5
434	-2.28984E-5
436	-2.23437E-5
438	-2.10938E-5
440	-2.04922E-5
442	-1.92266E-5
444	-2.01797E-5
446	-2.06094E-5
448	-2.00859E-5
450	-2.11484E-5
452	-2.13594E-5
454	-2.13906E-5
456	-1.92656E-5
458	-2.02734E-5
460	-1.98437E-5
462	-2.04766E-5
464	-1.95625E-5
466	-1.93828E-5
468	-1.88828E-5
470	-1.94375E-5
472	-2.01094E-5
474	-1.81406E-5
476	-1.90312E-5
478	-1.97344E-5
480	-1.97891E-5
482	-2.07969E-5
484	-2.01172E-5
486	-1.89844E-5
488	-1.91797E-5
490	-2.03359E-5
492	-1.725E-5
494	-1.70312E-5
496	-1.80859E-5
498	-1.78203E-5
500	-2.075E-5
520	-1.68906E-5
540	-1.69609E-5
560	-1.59141E-5
580	-1.60781E-5
600	-1.59219E-5
620	-1.46328E-5
640	-1.34219E-5
660	-1.33281E-5
680	-1.38828E-5
700	-1.31641E-5
720	-1.26719E-5
740	-1.02031E-5
760	-1.16172E-5
780	-1.18516E-5
800	-1.12422E-5
820	-9.75781E-6
840	-1.30078E-5
860	-1.19219E-5
880	-9.67187E-6
900	-1.05391E-5
920	-1.12813E-5
940	-1.02266E-5
960	-7.21875E-6
980	-8.52344E-6
1000	-9.39844E-6
1020	-7.03906E-6
1040	-1.03672E-5
1060	-8.23437E-6
1080	-8.22656E-6
1100	-8.33594E-6
1120	-6.16406E-6
1140	-7.5625E-6
1160	-7.24219E-6
1180	-6.59375E-6
1200	-7.03906E-6
1220	-6.99219E-6
1240	-6.46094E-6
1260	-6.60156E-6
1280	-4.73437E-6
1300	-6.28125E-6
1320	-6.00781E-6
1340	-4.20312E-6
1360	-7.04688E-6
1380	-4.86719E-6
1400	-4.15625E-6
1420	-6.54687E-6
1440	-5.38281E-6
1460	-6.00781E-6
1480	-3.48437E-6
1500	-4.28906E-6
1520	-1.09375E-6
1540	-3.6875E-6
1560	-2.72656E-6
1580	-3.63281E-6
1600	-1.39062E-6
1620	-7.85937E-6
1640	-4.86719E-6
1660	-7.20313E-6
1680	-4.10937E-6
1700	-3.8125E-6
1720	-1.09375E-6
1740	-1.28125E-6
1760	-4.53125E-7
1780	-6E-6
1800	-3.8125E-6
1820	-2.36719E-6
1840	-5.24219E-6
1860	-4.46875E-6
