t	dtet
-1	0
-0.9	-3.51563E-7
-0.8	-1.34375E-6
-0.7	-1.28125E-6
-0.6	-2.11719E-6
-0.5	-2.80469E-6
-0.4	-4.5625E-6
-0.3	-7.03906E-6
-0.2	-1.11016E-5
-0.1	-2.01328E-5
0	-3.82031E-5
0.1	-5.7375E-5
0.2	-8.55937E-5
0.3	-1.19094E-4
0.4	-1.52328E-4
0.5	-1.91234E-4
0.6	-2.22883E-4
0.7	-2.50477E-4
0.8	-2.7232E-4
0.9	-2.87211E-4
1	-2.9218E-4
1.1	-2.94914E-4
1.2	-2.91141E-4
1.3	-2.85141E-4
1.4	-2.78172E-4
1.5	-2.73523E-4
1.6	-2.69E-4
1.7	-2.6375E-4
1.8	-2.57906E-4
1.9	-2.5418E-4
2	-2.48602E-4
2.1	-2.44406E-4
2.2	-2.43352E-4
2.3	-2.41953E-4
2.4	-2.38523E-4
2.5	-2.34953E-4
2.6	-2.35422E-4
2.7	-2.34203E-4
2.8	-2.32414E-4
2.9	-2.30609E-4
3	-2.27867E-4
3.1	-2.26312E-4
3.2	-2.23086E-4
3.3	-2.23797E-4
3.4	-2.22664E-4
3.5	-2.23609E-4
3.6	-2.23531E-4
3.7	-2.22984E-4
3.8	-2.2043E-4
3.9	-2.23445E-4
4	-2.22758E-4
6	-2.17633E-4
8	-2.18727E-4
10	-2.28555E-4
12	-2.33023E-4
14	-2.35539E-4
16	-2.38828E-4
18	-2.41234E-4
20	-2.43453E-4
22	-2.46242E-4
24	-2.46203E-4
26	-2.495E-4
28	-2.49148E-4
30	-2.46281E-4
32	-2.45477E-4
34	-2.42953E-4
36	-2.39664E-4
38	-2.33617E-4
40	-2.26414E-4
42	-2.18727E-4
44	-2.11016E-4
46	-2.01828E-4
48	-1.92203E-4
50	-1.82102E-4
52	-1.71273E-4
54	-1.59578E-4
56	-1.48523E-4
58	-1.37773E-4
60	-1.27773E-4
62	-1.18336E-4
64	-1.11055E-4
66	-1.04188E-4
68	-9.66328E-5
70	-9.12891E-5
72	-8.66719E-5
74	-8.28594E-5
76	-8.12109E-5
78	-8.16094E-5
80	-8.21641E-5
82	-8.13672E-5
84	-8.60234E-5
86	-8.78672E-5
88	-9.07734E-5
90	-9.41953E-5
92	-9.85156E-5
94	-1.02445E-4
96	-1.04281E-4
98	-1.07805E-4
100	-1.11258E-4
102	-1.13391E-4
104	-1.13617E-4
106	-1.14477E-4
108	-1.15578E-4
110	-1.16977E-4
112	-1.15914E-4
114	-1.13383E-4
116	-1.10312E-4
118	-1.09078E-4
120	-1.06586E-4
122	-1.02453E-4
124	-9.73047E-5
126	-9.14922E-5
128	-8.85937E-5
130	-8.47891E-5
132	-8.10234E-5
134	-7.49531E-5
136	-7.07734E-5
138	-6.70781E-5
140	-6.40625E-5
142	-6.07266E-5
144	-5.79062E-5
146	-5.46875E-5
148	-5.35703E-5
150	-5.24766E-5
152	-5.12969E-5
154	-5.15781E-5
156	-5.1375E-5
158	-5.05703E-5
160	-5.25547E-5
162	-5.26484E-5
164	-5.43281E-5
166	-5.58203E-5
168	-5.47734E-5
170	-5.54141E-5
172	-5.70625E-5
174	-5.64766E-5
176	-5.86094E-5
178	-5.93359E-5
180	-6.00312E-5
182	-6.02969E-5
184	-5.96641E-5
186	-5.99922E-5
188	-6.00234E-5
190	-5.88125E-5
192	-5.76797E-5
194	-5.7375E-5
196	-5.45781E-5
198	-5.33437E-5
200	-5.32812E-5
202	-4.97422E-5
204	-4.86484E-5
206	-4.6E-5
208	-4.43594E-5
210	-4.26641E-5
212	-4.03516E-5
214	-4.01172E-5
216	-3.93047E-5
218	-3.70156E-5
220	-3.90469E-5
222	-3.70078E-5
224	-3.67266E-5
226	-3.4625E-5
228	-3.69062E-5
230	-3.82344E-5
232	-3.69531E-5
234	-3.67422E-5
236	-3.73281E-5
238	-3.78672E-5
240	-3.71016E-5
242	-3.88203E-5
244	-3.79687E-5
246	-3.925E-5
248	-3.875E-5
250	-3.87969E-5
252	-3.94219E-5
254	-3.66875E-5
256	-3.82422E-5
258	-3.70703E-5
260	-3.68437E-5
262	-3.77813E-5
264	-3.71875E-5
266	-3.68516E-5
268	-3.66172E-5
270	-3.65312E-5
272	-3.78906E-5
274	-3.63437E-5
276	-3.39375E-5
278	-3.32266E-5
280	-3.21172E-5
282	-3.24297E-5
284	-3.17891E-5
286	-3.16016E-5
288	-3.02031E-5
290	-2.92031E-5
292	-2.90312E-5
294	-2.88438E-5
296	-2.90547E-5
298	-3.00234E-5
300	-2.91953E-5
302	-2.88203E-5
304	-2.66016E-5
306	-2.74688E-5
308	-2.7E-5
310	-2.84531E-5
312	-2.67813E-5
314	-2.74688E-5
316	-2.82344E-5
318	-2.85234E-5
320	-2.75625E-5
322	-2.81641E-5
324	-2.73047E-5
326	-2.82813E-5
328	-2.8E-5
330	-2.69297E-5
332	-2.75469E-5
334	-2.71406E-5
336	-2.63438E-5
338	-2.65312E-5
340	-2.54063E-5
342	-2.55234E-5
344	-2.48359E-5
346	-2.61484E-5
348	-2.53906E-5
350	-2.625E-5
352	-2.68516E-5
354	-2.53516E-5
356	-2.42656E-5
358	-2.45313E-5
360	-2.4375E-5
362	-2.34922E-5
364	-2.38516E-5
366	-2.34844E-5
368	-2.41172E-5
370	-2.23906E-5
372	-2.30938E-5
374	-2.32109E-5
376	-2.33906E-5
378	-2.26875E-5
380	-2.16328E-5
382	-2.34844E-5
384	-2.25625E-5
386	-2.36875E-5
388	-2.18203E-5
390	-2.19922E-5
