t	dtet
-1	0
-0.9	-6.51022E-7
-0.8	-3.12491E-7
-0.7	-9.66147E-7
-0.6	-2.42187E-6
-0.5	-1.23696E-6
-0.4	-2.35415E-6
-0.3	-5.2578E-6
-0.2	-9.79165E-6
-0.1	-1.69531E-5
0	-2.87187E-5
0.1	-4.84479E-5
0.2	-7.32891E-5
0.3	-1.02216E-4
0.4	-1.36216E-4
0.5	-1.69086E-4
0.6	-2.02867E-4
0.7	-2.31669E-4
0.8	-2.55664E-4
0.9	-2.70549E-4
1	-2.80318E-4
1.1	-2.84435E-4
1.2	-2.86831E-4
1.3	-2.81701E-4
1.4	-2.73945E-4
1.5	-2.68857E-4
1.6	-2.63333E-4
1.7	-2.57948E-4
1.8	-2.53547E-4
1.9	-2.48734E-4
2	-2.42987E-4
2.1	-2.3957E-4
2.2	-2.35909E-4
2.3	-2.31516E-4
2.4	-2.31151E-4
2.5	-2.29344E-4
2.6	-2.27713E-4
2.7	-2.26388E-4
2.8	-2.25997E-4
2.9	-2.25461E-4
3	-2.21583E-4
3.1	-2.17398E-4
3.2	-2.17752E-4
3.3	-2.15953E-4
3.4	-2.15669E-4
3.5	-2.13195E-4
3.6	-2.15549E-4
3.7	-2.16557E-4
3.8	-2.12555E-4
3.9	-2.10419E-4
4	-2.11797E-4
6	-2.08781E-4
8	-2.08078E-4
10	-2.16862E-4
12	-2.21672E-4
14	-2.20987E-4
16	-2.17305E-4
18	-2.17287E-4
20	-2.18117E-4
22	-2.16664E-4
24	-2.16549E-4
26	-2.16242E-4
28	-2.1506E-4
30	-2.1474E-4
32	-2.11674E-4
34	-2.10229E-4
36	-2.08409E-4
38	-2.0474E-4
40	-1.99789E-4
42	-1.92581E-4
44	-1.87482E-4
46	-1.81773E-4
48	-1.75706E-4
50	-1.68883E-4
52	-1.6212E-4
54	-1.54643E-4
56	-1.48117E-4
58	-1.38516E-4
60	-1.30891E-4
62	-1.23523E-4
64	-1.17255E-4
66	-1.09987E-4
68	-1.04648E-4
70	-9.83541E-5
72	-9.29531E-5
74	-8.89609E-5
76	-8.525E-5
78	-8.09975E-5
80	-7.93803E-5
82	-7.69556E-5
84	-7.62162E-5
86	-7.61641E-5
88	-7.44478E-5
90	-7.65834E-5
92	-7.77319E-5
94	-7.87734E-5
96	-7.89687E-5
98	-8.28281E-5
100	-8.31719E-5
102	-8.37212E-5
104	-8.51406E-5
106	-8.81666E-5
108	-8.76094E-5
110	-8.756E-5
112	-8.98906E-5
114	-9.044E-5
116	-9.08672E-5
118	-9.03541E-5
120	-8.88022E-5
122	-8.80444E-5
124	-8.68412E-5
126	-8.33412E-5
128	-8.24634E-5
130	-8.13256E-5
132	-7.73775E-5
134	-7.40078E-5
136	-7.194E-5
138	-6.91275E-5
140	-6.56459E-5
142	-6.3375E-5
144	-6.13698E-5
146	-5.81094E-5
148	-5.67812E-5
150	-5.33541E-5
152	-5.25599E-5
154	-4.99791E-5
156	-4.84401E-5
158	-4.79922E-5
160	-4.82396E-5
162	-4.79141E-5
164	-4.74974E-5
166	-4.57865E-5
168	-4.45963E-5
170	-4.60859E-5
172	-4.66901E-5
174	-4.54323E-5
176	-4.54818E-5
178	-4.63385E-5
180	-4.69948E-5
182	-4.78516E-5
184	-4.85104E-5
186	-4.90703E-5
188	-4.82734E-5
190	-4.78125E-5
192	-4.73359E-5
194	-4.80391E-5
196	-4.8974E-5
198	-4.81771E-5
200	-4.84766E-5
202	-4.69583E-5
204	-4.69766E-5
206	-4.50469E-5
208	-4.51172E-5
210	-4.56901E-5
212	-4.44036E-5
214	-4.33541E-5
216	-4.33151E-5
218	-3.92057E-5
220	-3.77604E-5
222	-3.74193E-5
224	-3.74088E-5
226	-3.75729E-5
228	-3.74401E-5
230	-3.64687E-5
232	-3.29531E-5
234	-3.23594E-5
236	-3.2763E-5
238	-3.26771E-5
240	-3.25963E-5
242	-3.28411E-5
244	-3.23047E-5
246	-3.25052E-5
248	-3.14766E-5
250	-3.10781E-5
252	-3.06432E-5
254	-3.01719E-5
256	-3.21172E-5
258	-3.04427E-5
260	-3.12291E-5
262	-3.06693E-5
264	-3.00729E-5
266	-3.09531E-5
268	-3.11146E-5
270	-3.14818E-5
272	-3.06666E-5
274	-3.0138E-5
276	-3.03411E-5
278	-2.92943E-5
280	-3.12578E-5
282	-2.94896E-5
284	-2.86719E-5
286	-3.03411E-5
288	-2.94922E-5
290	-2.92291E-5
292	-2.86875E-5
294	-2.78021E-5
296	-2.74609E-5
298	-2.75078E-5
300	-2.66458E-5
302	-2.61588E-5
304	-2.65625E-5
306	-2.5487E-5
308	-2.63021E-5
310	-2.47291E-5
312	-2.60521E-5
314	-2.59453E-5
316	-2.62682E-5
318	-2.48568E-5
320	-2.52057E-5
322	-2.43307E-5
324	-2.5138E-5
326	-2.51771E-5
328	-2.39088E-5
330	-2.38594E-5
332	-2.42552E-5
334	-2.47344E-5
336	-2.53411E-5
338	-2.47213E-5
340	-2.24948E-5
342	-2.38594E-5
344	-2.39401E-5
346	-2.31094E-5
348	-2.27604E-5
350	-2.40234E-5
352	-2.40052E-5
354	-2.31615E-5
356	-2.23906E-5
358	-2.30391E-5
360	-2.2625E-5
362	-2.07318E-5
364	-2.28568E-5
366	-2.16953E-5
368	-2.24193E-5
370	-2.2487E-5
372	-2.15312E-5
374	-2.27969E-5
376	-2.19766E-5
378	-2.09583E-5
380	-2.19349E-5
382	-2.19166E-5
384	-2.13932E-5
386	-2.0612E-5
388	-1.94791E-5
390	-1.82005E-5
392	-1.89713E-5
394	-1.99115E-5
396	-1.9776E-5
398	-2.02891E-5
400	-1.98776E-5
402	-2.01172E-5
404	-2.01719E-5
406	-2.09479E-5
408	-1.98307E-5
410	-1.91875E-5
412	-1.83854E-5
414	-1.98698E-5
416	-1.96693E-5
418	-1.88411E-5
420	-1.93463E-5
422	-1.92344E-5
424	-1.87943E-5
426	-1.79375E-5
428	-1.92891E-5
430	-1.80338E-5
432	-1.84245E-5
434	-1.84036E-5
436	-1.83516E-5
438	-1.83047E-5
440	-1.83463E-5
442	-1.86068E-5
444	-1.8349E-5
446	-1.70469E-5
448	-1.87318E-5
450	-1.81849E-5
452	-1.72422E-5
454	-1.69193E-5
456	-1.69453E-5
458	-1.6401E-5
460	-1.80182E-5
462	-1.76094E-5
464	-1.61745E-5
466	-1.61276E-5
468	-1.59818E-5
470	-1.64271E-5
472	-1.57344E-5
474	-1.6263E-5
476	-1.70286E-5
478	-1.7888E-5
480	-1.65338E-5
482	-1.69479E-5
484	-1.60807E-5
486	-1.62448E-5
488	-1.67291E-5
490	-1.64271E-5
492	-1.60416E-5
494	-1.49062E-5
496	-1.50755E-5
498	-1.48541E-5
500	-1.62682E-5
520	-1.49375E-5
540	-1.5224E-5
560	-1.3776E-5
580	-1.42812E-5
600	-1.4112E-5
620	-1.25182E-5
640	-1.24818E-5
660	-1.17865E-5
680	-1.04583E-5
700	-1.07578E-5
720	-1.01797E-5
740	-9.78905E-6
760	-1.14713E-5
780	-9.9453E-6
800	-9.4349E-6
820	-7.92968E-6
840	-8.97133E-6
860	-7.35937E-6
880	-8.26562E-6
900	-8.02602E-6
920	-8.5078E-6
940	-7.40883E-6
960	-8.10677E-6
980	-6.8229E-6
1000	-9.22915E-6
1020	-7.23177E-6
1040	-4.06771E-6
1060	-5.17446E-6
1080	-6.77343E-6
1100	-8.3724E-6
1120	-6.43227E-6
1140	-4.86977E-6
1160	-7.27602E-6
1180	-7.14843E-6
1200	-6.40102E-6
1220	-3.58333E-6
1240	-3.27865E-6
1260	-6.13802E-6
1280	-3.75521E-6
1300	-3.46352E-6
1320	-4.59374E-6
1340	-3.88802E-6
1360	-5.61977E-6
1380	-3.10677E-6
1400	-5.58333E-6
1420	-4.52343E-6
1440	-4.89062E-6
1460	-2.1354E-6
1480	-5.0703E-6
1500	-4.88021E-6
1520	-1.8229E-6
1540	-5.20312E-6
1560	-3.26821E-6
1580	-6.2474E-6
1600	-1.22915E-6
1620	-5.77083E-6
1640	-7.47387E-7
1660	-4.15883E-6
1680	-4.65102E-6
1700	-2.6849E-6
1720	-2.14062E-6
1740	-4.98958E-6
1760	-1.59374E-6
1780	-3.79165E-6
1800	-1.2578E-6
1820	-1.84633E-6
1840	-2.18227E-6
1860	-4.32812E-6
