t	dtet
-1	0
-0.9	-9.96894E-7
-0.8	-8.29193E-7
-0.7	-1.39596E-6
-0.6	-5.17081E-7
-0.5	-4.36335E-7
-0.4	-1.32453E-6
-0.3	-4.96894E-7
-0.2	-1.15994E-6
-0.1	-7.45342E-8
0	-3.09006E-7
0.1	7.91925E-8
0.2	8.61801E-7
0.3	2.09161E-6
0.4	4.89907E-6
0.5	9.69876E-6
0.6	1.50901E-5
0.7	2.06444E-5
0.8	2.71429E-5
0.9	3.46863E-5
1	4.14519E-5
1.1	4.72578E-5
1.2	5.09767E-5
1.3	5.17298E-5
1.4	5.13075E-5
1.5	4.9632E-5
1.6	4.66708E-5
1.7	4.56506E-5
1.8	4.36661E-5
1.9	4.27966E-5
2	4.18494E-5
2.1	4.03494E-5
2.2	3.9646E-5
2.3	3.7632E-5
2.4	3.66009E-5
2.5	3.65761E-5
2.6	3.5028E-5
2.7	3.37671E-5
2.8	3.35062E-5
2.9	3.30807E-5
3	3.16335E-5
3.1	3.17345E-5
3.2	3.21429E-5
3.3	3.08137E-5
3.4	2.95932E-5
3.5	3.00342E-5
3.6	2.94084E-5
3.7	2.85621E-5
3.8	2.85311E-5
3.9	2.87469E-5
4	2.86118E-5
6	2.74674E-5
8	2.55668E-5
10	2.59969E-5
12	2.56832E-5
14	2.60326E-5
16	2.42609E-5
18	2.49674E-5
20	2.40994E-5
22	2.41568E-5
24	2.31584E-5
26	2.05093E-5
28	2.08199E-5
30	1.93121E-5
32	1.87003E-5
34	1.71537E-5
36	1.67904E-5
38	1.6736E-5
40	1.59161E-5
42	1.61025E-5
44	1.53711E-5
46	1.4913E-5
48	1.53587E-5
50	1.45217E-5
52	1.30078E-5
54	1.36708E-5
56	1.25963E-5
58	1.19146E-5
60	1.31273E-5
62	1.35342E-5
64	1.27236E-5
66	1.35761E-5
68	1.39488E-5
70	1.46149E-5
72	1.43339E-5
74	1.52873E-5
76	1.54612E-5
78	1.59845E-5
80	1.72966E-5
82	1.5972E-5
84	1.5663E-5
86	1.67407E-5
88	1.50668E-5
90	1.64379E-5
92	1.55078E-5
94	1.48463E-5
96	1.6722E-5
98	1.69829E-5
100	1.37919E-5
102	1.49193E-5
104	1.54255E-5
106	1.5295E-5
108	1.46786E-5
110	1.40932E-5
112	1.41382E-5
114	1.36894E-5
116	1.3104E-5
118	1.3632E-5
120	1.24984E-5
122	1.2882E-5
124	1.27422E-5
126	1.20932E-5
128	1.1087E-5
130	1.15621E-5
132	1.22764E-5
134	1.13929E-5
136	1.12686E-5
138	1.16134E-5
140	1.17252E-5
142	1.19161E-5
144	1.17453E-5
146	1.09767E-5
148	1.0514E-5
150	1.10093E-5
152	1.14581E-5
154	1.20311E-5
156	1.17112E-5
158	1.2177E-5
160	1.14783E-5
162	1.05171E-5
164	1.08835E-5
166	1.25901E-5
168	1.17593E-5
170	1.07484E-5
172	1.21786E-5
174	1.21413E-5
176	1.1677E-5
178	1.06786E-5
180	1.15062E-5
182	1.04627E-5
184	1.12003E-5
186	1.07298E-5
188	1.03711E-5
190	1.10481E-5
192	1.12826E-5
194	1.05311E-5
196	1.03898E-5
198	1.02562E-5
200	1.01289E-5
202	1.08835E-5
204	1.05512E-5
206	9.54037E-6
208	9.4146E-6
210	9.59627E-6
212	1.01677E-5
214	8.87888E-6
216	1.01801E-5
218	9.92702E-6
220	8.81056E-6
222	9.00466E-6
224	8.93012E-6
226	8.81677E-6
228	9.51398E-6
230	9.71584E-6
232	9.43478E-6
234	9.18012E-6
236	9.15062E-6
238	8.73602E-6
240	8.38975E-6
242	9.46584E-6
244	8.90217E-6
246	9.26087E-6
248	7.22516E-6
250	9.15217E-6
252	8.68634E-6
254	9.28416E-6
256	9.22826E-6
258	7.88043E-6
260	9.83385E-6
262	9.00776E-6
264	8.79348E-6
266	7.27795E-6
268	7.62422E-6
270	8.18944E-6
272	8.23447E-6
274	8.1087E-6
276	8.02329E-6
278	7.50621E-6
280	6.86801E-6
282	7.26398E-6
284	6.58385E-6
286	7.32919E-6
288	7.44099E-6
290	7.53571E-6
292	5.99068E-6
294	7.23447E-6
296	7.15839E-6
298	7.26708E-6
300	6.67391E-6
302	8.02484E-6
304	6.93634E-6
306	6.84472E-6
308	6.45963E-6
310	7.30435E-6
312	6.88354E-6
314	7.12112E-6
316	6.97671E-6
318	7.36801E-6
320	7.70186E-6
322	6.69099E-6
324	6.80745E-6
326	5.28571E-6
328	6.54193E-6
330	7.42547E-6
332	6.57609E-6
334	6.7795E-6
336	7.3028E-6
338	7.31522E-6
340	6.53571E-6
342	6.54658E-6
344	5.62733E-6
346	5.86491E-6
348	6.77174E-6
350	5.38665E-6
352	6.32143E-6
354	5.94099E-6
356	5.8618E-6
358	6.17236E-6
360	5.52174E-6
362	6.51863E-6
364	5.77019E-6
366	6.00776E-6
368	6.26087E-6
370	5.71273E-6
372	6.65994E-6
374	6.17081E-6
376	6.78571E-6
378	5.66149E-6
380	5.33851E-6
382	5.71894E-6
384	5.74224E-6
386	5.89907E-6
388	5.72826E-6
390	4.84472E-6
392	5.3354E-6
394	6.18168E-6
396	5.92236E-6
398	5.71739E-6
400	5.32609E-6
402	4.86801E-6
404	4.76398E-6
406	4.63665E-6
408	5.1413E-6
410	5.7795E-6
412	5.90217E-6
414	4.84317E-6
416	4.81056E-6
418	5.12733E-6
420	4.80901E-6
422	4.56832E-6
424	4.78106E-6
426	5.48913E-6
428	5.04193E-6
430	4.72671E-6
432	3.28727E-6
434	4.57919E-6
436	5.10093E-6
438	4.5295E-6
440	4.6941E-6
442	5.3323E-6
444	5.62578E-6
446	5.72205E-6
448	4.58385E-6
450	4.7205E-6
452	4.49379E-6
454	5.77795E-6
456	4.6118E-6
458	4.64441E-6
460	4.23758E-6
462	5.04503E-6
464	4.64596E-6
466	4.36491E-6
468	4.52484E-6
470	4.78882E-6
472	4.26553E-6
474	4.31056E-6
476	4.80901E-6
478	5.04193E-6
480	4.67857E-6
482	3.31988E-6
484	3.07609E-6
486	4.46273E-6
488	5.84472E-6
490	5.25E-6
492	4.23292E-6
494	4.42857E-6
496	5.25932E-6
498	5.22826E-6
500	3.13199E-6
520	4.75621E-6
540	4.12733E-6
560	3.73913E-6
580	3.52329E-6
600	4.21584E-6
620	3.97671E-6
640	3.09317E-6
660	3.62578E-6
680	3.13043E-6
700	2.88665E-6
720	2.99534E-6
740	1.84472E-6
760	2.37267E-6
780	2.73137E-6
800	2.40994E-6
820	1.37267E-6
840	1.79814E-6
860	2.98447E-6
880	1.93478E-6
900	2.21429E-6
920	1.86646E-6
940	1.84472E-6
960	1.88043E-6
980	2.45807E-6
1000	1.13975E-6
1020	2.7795E-7
1040	1.9736E-6
1060	6.28882E-7
1080	8.41615E-7
1100	7.98137E-7
1120	7.96584E-7
1140	1.9736E-6
1160	1.67547E-6
1180	4.62733E-7
1200	1.84472E-6
1220	2.85714E-7
1240	2.17702E-6
1260	1.29969E-6
1280	6.75466E-7
1300	6.66149E-7
1320	-1.39752E-8
1340	1.90528E-6
1360	1.63199E-6
1380	1.28416E-6
1400	7.98137E-7
1420	2.11335E-6
1440	1.09472E-6
1460	1.77329E-6
1480	8.43168E-7
1500	4.82919E-7
1520	3.1677E-7
1540	1.00776E-6
1560	8.05901E-7
1580	1.62888E-6
1600	1.42857E-7
1620	2.00776E-6
1640	1.17702E-6
1660	5.90062E-7
1680	2.56211E-7
1700	-2.17391E-7
1720	9.31677E-7
1740	1.30435E-7
1760	1.17857E-6
1780	-8.35404E-7
1800	1.43168E-6
1820	4.81366E-8
1840	2.96584E-7
1860	1.73802E-6
